model,accuracy,failure_precision,failure_recall,failure_f1,average_precision,confusion_matrix
Baseline Random Forest,0.99,1.0,0.6538461538461539,0.7906976744186046,0.8766513868975289,"[[874, 0], [9, 17]]"
Random Forest + SMOTE,0.9844444444444445,1.0,0.46153846153846156,0.631578947368421,0.8294748235582858,"[[874, 0], [14, 12]]"
XGBoost + Class Weighting,0.99,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.860626139949579,"[[872, 2], [7, 19]]"
Sequence Proxy Neural Net,0.9766666666666667,1.0,0.19230769230769232,0.3225806451612903,0.9110444667611614,"[[874, 0], [21, 5]]"
K-Means High-Risk Segments,,,,,0.13333333333333333,
